;ADM1251_grau;ADM1258_grau;ADM1259_grau;ADM1271_grau;ADM1272_grau;ADM1276_grau;ADM1451_grau;ADM1551_grau;ADM1552_grau;ADM1951_grau;ADM1952_grau;ADM1953_grau;CRE1100_grau;ECO1101_grau;ECO1310_grau;FIL0201_grau;JUR1016_grau;JUR1018_grau;LET1040_grau;MAT1127_grau;MAT1128_grau;MAT1129_grau;PSI1033_grau;SOC0201_grau;SOC0203_grau;id;semestre
30;0.7;-1.0;0.61;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.54;-1.0;-1.0;-1.0;0.52;-1.0;0.9099999999999999;-1.0;-1.0;-1.0;0.25;-1.0;-1.0;-1.0;0.73;-1.0;aluno1069;1
31;0.73;-1.0;0.73;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.95;0.76;-1.0;0.9400000000000001;-1.0;-1.0;-1.0;0.55;-1.0;-1.0;-1.0;0.85;-1.0;aluno1078;1
32;0.85;-1.0;0.7;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.5;-1.0;-1.0;-1.0;0.61;-1.0;0.8800000000000001;-1.0;-1.0;-1.0;0.5;-1.0;-1.0;-1.0;0.58;-1.0;aluno1087;1
33;0.8800000000000001;-1.0;0.78;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.6599999999999999;-1.0;-1.0;-1.0;0.54;-1.0;0.9;-1.0;-1.0;-1.0;0.63;-1.0;-1.0;-1.0;0.9199999999999999;-1.0;aluno1102;1
34;-1.0;-1.0;0.9;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;0.75;-1.0;1.0;-1.0;-1.0;-1.0;0.7;-1.0;-1.0;0.8400000000000001;0.53;-1.0;aluno1103;1
35;0.8800000000000001;-1.0;0.75;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.64;-1.0;-1.0;-1.0;0.5;-1.0;0.9;-1.0;-1.0;-1.0;0.5;-1.0;-1.0;-1.0;0.82;-1.0;aluno1126;1
36;0.7;-1.0;0.8300000000000001;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.75;-1.0;-1.0;-1.0;0.63;-1.0;0.9199999999999999;-1.0;-1.0;-1.0;0.53;-1.0;-1.0;-1.0;0.72;-1.0;aluno1132;1
37;0.78;-1.0;0.85;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.75;-1.0;-1.0;-1.0;0.73;-1.0;1.0;-1.0;-1.0;-1.0;0.86;-1.0;-1.0;-1.0;0.65;-1.0;aluno1136;1
38;0.6;-1.0;0.7;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.5900000000000001;-1.0;-1.0;-1.0;0.4;-1.0;0.9400000000000001;-1.0;-1.0;-1.0;0.35;-1.0;-1.0;-1.0;0.45999999999999996;-1.0;aluno1148;1
39;0.78;-1.0;0.8300000000000001;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.7;-1.0;-1.0;-1.0;0.5;-1.0;0.97;-1.0;-1.0;-1.0;0.52;-1.0;-1.0;-1.0;0.75;-1.0;aluno1150;1
