;ARQ1000_grau;ARQ1001_grau;ARQ1002_grau;ARQ1101_grau;ARQ1102_grau;ARQ1103_grau;ART1020_grau;ART1027_grau;ART1028_grau;ART1029_grau;ART1030_grau;ART1210_grau;ART1420_grau;CIV1301_grau;CRE0700_grau;CRE1100_grau;CRE1141_grau;HIS1430_grau;HIS1850_grau;MAT1071_grau;MAT1072_grau;SOC1139_grau;id;semestre
1190;-1.0;-1.0;1.0;-1.0;-1.0;0.8400000000000001;-1.0;-1.0;-1.0;0.8800000000000001;-1.0;-1.0;-1.0;0.79;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.79;0.75;aluno3214;3
1191;0.75;-1.0;-1.0;0.8099999999999999;-1.0;-1.0;0.85;-1.0;-1.0;-1.0;-1.0;-1.0;0.93;-1.0;-1.0;0.95;-1.0;-1.0;-1.0;0.73;-1.0;-1.0;aluno3215;1
1192;-1.0;0.97;-1.0;-1.0;0.93;-1.0;-1.0;0.96;0.8400000000000001;-1.0;-1.0;0.95;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;aluno3215;2
1193;-1.0;-1.0;1.0;-1.0;-1.0;0.75;-1.0;-1.0;-1.0;0.73;-1.0;-1.0;-1.0;0.9;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.67;0.8300000000000001;aluno3215;3
1194;0.9;-1.0;-1.0;0.8800000000000001;-1.0;-1.0;0.8;-1.0;-1.0;-1.0;-1.0;-1.0;0.9;-1.0;-1.0;0.97;-1.0;-1.0;-1.0;0.77;-1.0;-1.0;aluno3216;1
1195;-1.0;0.8300000000000001;-1.0;-1.0;0.72;-1.0;-1.0;1.0;0.72;-1.0;-1.0;0.8800000000000001;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;aluno3216;2
1196;-1.0;-1.0;0.97;-1.0;-1.0;0.6799999999999999;-1.0;-1.0;-1.0;0.6599999999999999;-1.0;-1.0;-1.0;0.97;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.8400000000000001;0.93;aluno3216;3
1197;0.74;-1.0;-1.0;0.73;-1.0;-1.0;0.85;-1.0;-1.0;-1.0;-1.0;-1.0;0.9;-1.0;-1.0;0.9199999999999999;-1.0;-1.0;-1.0;0.73;-1.0;-1.0;aluno3222;1
1198;-1.0;0.8800000000000001;-1.0;-1.0;0.75;-1.0;-1.0;0.9199999999999999;0.74;-1.0;-1.0;0.93;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;aluno3222;2
1199;-1.0;-1.0;0.9400000000000001;-1.0;-1.0;0.76;-1.0;-1.0;-1.0;0.7;-1.0;-1.0;-1.0;0.82;0.93;-1.0;-1.0;-1.0;-1.0;-1.0;0.5900000000000001;0.8;aluno3222;3
